id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Candidate_name,subjectivity,polarity,Analysis
1591709352075096067,1591420263606161408,1668328056000.0,2022-11-13 09:27:36,+0100,,this is the more reason u should vote obiu need to be educated not waiting agbado or regional divider to keep ur light brain lighter go and get wisdom u need it badly sentimentality and tribalism has eaten u up better wake up before its too late,en,[],[],907160426408026112,907160426408026112,Maxwelljohn313,Maxwell john,7,09,https://twitter.com/Maxwelljohn313/status/1591709352075096067,[],[],0,,False,0,0,0,,peter obi,,,,,,,"[{'screen_name': 'ali_saraki', 'name': 'Sir Belló', 'id': '3924389537'}, {'screen_name': 'JeffreyGuterman', 'name': 'Dr. Jeffrey Guterman', 'id': '246103'}, {'screen_name': 'PeterObi', 'name': 'Peter Obi', 'id': '1050779471731707904'}]",,,,,Peter Obi,0.5933333333333334,0.08000000000000004,Positve
1591709349948567552,1591420263606161408,1668328056000.0,2022-11-13 09:27:36,+0100,,context and issues of the moment influence social relationship be rest assured that nigerians are happy with you support and wont take it for granted you are highly welcome,en,[],[],1563844986751406084,1563844986751406084,Christo82578531,Christopher Ngara,7,09,https://twitter.com/Christo82578531/status/1591709349948567552,[],[],0,,False,0,0,0,,peter obi,,,,,,,"[{'screen_name': 'JeffreyGuterman', 'name': 'Dr. Jeffrey Guterman', 'id': '246103'}, {'screen_name': 'PeterObi', 'name': 'Peter Obi', 'id': '1050779471731707904'}]",,,,,Peter Obi,0.6555555555555556,0.5444444444444444,Positve
1591709342155558912,1591709342155558912,1668328054000.0,2022-11-13 09:27:34,+0100,,breaking peter obi of the labour party is the next president of nigeria   retweet aggressively,en,[],[],1491716048625803270,1491716048625803270,TkChristian11,More Blessing,7,09,https://twitter.com/TkChristian11/status/1591709342155558912,[],[],0,,False,0,0,0,,peter obi,,,,,,,[],,,,,Peter Obi,0.0,0.0,Neutral
1591709327609438208,1591709327609438208,1668328050000.0,2022-11-13 09:27:30,+0100,,peter obi supporters about to do a carnival in port harcourt wike dey mad abeg,en,[],[],1005180128966701056,1005180128966701056,FAGalileo,Galileo,7,09,https://twitter.com/FAGalileo/status/1591709327609438208,[],[],0,,False,0,0,0,https://twitter.com/iamtenseven/status/1591692278757789696,peter obi,,,,,,,[],,,,,Peter Obi,1.0,-0.625,Negative
1591709324006789120,1591540915939819522,1668328050000.0,2022-11-13 09:27:30,+0100,,who and who did he invite,en,[],[],1491558504141836294,1491558504141836294,Nandikinggg,NANGATE♟️🖥️,7,09,https://twitter.com/Nandikinggg/status/1591709324006789120,[],[],0,,False,0,0,0,,peter obi,,,,,,,"[{'screen_name': 'AyamTjay', 'name': 'Ä D É P Ô J Û', 'id': '1047668071'}, {'screen_name': 'Jack_ng01', 'name': 'J a c k 🇳🇬', 'id': '1215978204734861312'}, {'screen_name': 'PeterObi', 'name': 'Peter Obi', 'id': '1050779471731707904'}]",,,,,Peter Obi,0.0,0.0,Neutral
1591709322874060800,1591419750969655298,1668328049000.0,2022-11-13 09:27:29,+0100,,not serial contender but serial looser atiku and tinubu will loose to,en,[],[],1516426536286625793,1516426536286625793,CrownPrin5,President OBI,7,09,https://twitter.com/CrownPrin5/status/1591709322874060800,[],[],0,,False,0,0,0,,peter obi,,,,,,,"[{'screen_name': 'Jaswable', 'name': 'Chuku Mmuo Nso.', 'id': '228719614'}, {'screen_name': 'Yola_Twitta', 'name': 'Yola Twittèr Connect', 'id': '1230791672960880643'}, {'screen_name': 'atiku', 'name': 'Atiku Abubakar', 'id': '177583133'}]",,,,,Peter Obi,0.2692307692307692,-0.07692307692307693,Negative
1591709319032344576,1591709319032344576,1668328048000.0,2022-11-13 09:27:28,+0100,,to some of us  presidency is a breath of fresh air the broken system yall fighting to retain has been choking us for too long and one more bad government will be devastating to a whole lot of us so spare me that obidients are emotional talk we just wanna breath man,en,[],[],543845221,543845221,EmemEdimo,Emem Edimo,7,09,https://twitter.com/EmemEdimo/status/1591709319032344576,[],[],0,,False,0,0,0,,peter obi,,,,,,,[],,,,,Peter Obi,0.5645833333333333,-0.14375,Negative
1591709227558785026,1591706057491054593,1668328027000.0,2022-11-13 09:27:07,+0100,,your election in  as the prophesy comes says you will re write the electoral map  i dont know know that the electoral map is so when god says you will re write im not sure what it means regardless you will be elected president in,en,[],[],133804912,133804912,cgese,Winny,7,09,https://twitter.com/cgese/status/1591709227558785026,[],[],0,,False,0,0,0,,peter obi,,,,,,,[],,,,,Peter Obi,0.8888888888888888,-0.25,Negative
1591709212014518272,1591591073679577088,1668328023000.0,2022-11-13 09:27:03,+0100,,my brother naa soo peter obi all the way,en,[],[],1297987166635614208,1297987166635614208,ChidiDamian3,Chidi Damian.,7,09,https://twitter.com/ChidiDamian3/status/1591709212014518272,[],[],0,,False,0,0,0,,peter obi,,,,,,,"[{'screen_name': 'BiggVin', 'name': 'Hon Engr.Vin Otti.(ASQ,CQE,AWS,ASME,IATF) 🇺🇸🇳🇬', 'id': '199277971'}, {'screen_name': 'PeterObi', 'name': 'Peter Obi', 'id': '1050779471731707904'}, {'screen_name': 'NgLabour', 'name': 'LabourPartyNG', 'id': '1529562333751689217'}]",,,,,Peter Obi,0.0,0.0,Neutral
1591709198135721986,1591709198135721986,1668328020000.0,2022-11-13 09:27:00,+0100,,peter obi is clean oba admonishes,en,[],[],1558557924380884994,1558557924380884994,AkudikBrain,Brain Akudik Imossan,7,09,https://twitter.com/AkudikBrain/status/1591709198135721986,[],[],0,,False,0,0,0,https://twitter.com/DailyPostNGR/status/1591371458030305281,peter obi,,,,,,,[],,,,,Peter Obi,0.7000000000000001,0.3666666666666667,Positve
